first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
Jamaldeen,Jimoh-Aloba,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,MID
Kadan,Young,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.6,44,MID
Ollie,Watkins,1,0,27,866,8,93.6,70.4,218.0,2,81,38.1,5,0,0,6.5,85,FWD
Zépiqueno,Redmond,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,45,FWD
Harvey,Elliott,0,0,4,97,2,17.8,8.6,18.0,0,13,4.4,0,0,0,0.2,54,MID
Jadon,Sancho,0,0,4,87,0,29.8,14.6,66.0,0,13,11.1,0,0,0,0.2,58,MID
Evann,Guessand,0,0,14,420,6,32.1,52.2,65.0,0,46,14.7,1,0,0,0.0,62,MID
James,Wright,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.5,40,GK
Triston,Rowe,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF
Bradley,Burrowes,0,0,1,16,1,0.3,0.0,0.0,0,3,0.0,0,0,0,0.1,44,MID
Sam,Proctor,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,40,GK
Travis,Patterson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,39,DEF
Victor,Lindelöf,0,0,3,21,0,0.4,3.0,0.0,0,9,0.4,0,0,0,0.0,45,DEF
Max,Weiß,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,43,GK
Etienne,Green,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,40,GK
Václav,Hladký,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,40,GK
Connor,Roberts,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44,DEF
Kyle,Walker,0,1,29,990,22,52.4,189.2,14.0,3,83,25.6,2,0,3,1.6,44,DEF
Hannes,Delcroix,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,39,DEF
Owen,Dodgson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Hjalmar,Ekdal,0,0,20,533,12,26.4,130.2,61.0,1,47,21.7,1,0,0,1.1,40,DEF
Maxime,Estève,0,0,28,982,22,39.0,217.2,38.0,0,88,29.6,2,0,0,11.8,39,DEF
Quilindschy,Hartman,0,4,36,977,19,176.3,242.4,36.0,0,134,45.5,2,0,1,1.0,40,DEF
Bashir,Humphreys,0,0,0,2,2,0.0,0.2,0.0,0,-5,0.0,0,0,0,0.1,40,DEF
Jordan,Beyer,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF
Lucas,Pires Silva,0,0,1,9,1,14.5,4.4,0.0,0,1,1.9,0,0,0,0.2,39,DEF
Shurandy,Sambo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Oliver,Sonne,0,0,3,102,4,16.4,7.6,6.0,0,-2,3.0,0,0,0,0.1,39,DEF
Axel,Tuanzebe,0,0,16,450,9,4.1,113.6,0.0,0,58,11.9,1,0,0,1.8,39,DEF
Joe,Worrall,0,0,4,19,2,0.3,11.2,0.0,0,9,1.2,0,0,0,0.2,39,DEF
Jaidon,Anthony,4,1,49,886,17,159.7,235.6,204.0,5,166,59.8,3,0,3,5.2,56,MID
Manuel,Benson Hedilazio,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,54,MID
Jacob,Bruun Larsen,0,1,16,411,11,59.9,49.0,60.0,0,47,16.9,1,0,0,0.0,53,MID
Enock,Agyei,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,48,MID
Darko,Churlinov,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,MID
Josh,Cullen,2,1,53,941,19,150.3,273.6,77.0,8,222,50.3,3,0,1,2.4,50,MID
Marcus,Edwards,0,0,3,22,1,1.4,3.2,24.0,0,8,2.6,0,0,0,0.1,47,MID
Hannibal,Mejbri,0,2,21,287,9,59.8,42.8,20.0,0,75,12.2,1,0,1,0.1,48,MID
Luca,Koleosho,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID
Josh,Laurent,0,0,15,557,14,24.2,71.0,32.0,0,74,12.9,0,0,1,0.0,49,MID
Loum,Tchaouna,1,1,22,435,6,35.0,58.6,44.0,0,76,13.8,1,0,1,0.0,49,MID
Aaron,Ramsey,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,2.0,44,MID
Oluwaseun,Adewumi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Jaydon,Banel,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Mike,Trésor Ndayishimiye,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44,MID
Zian,Flemming,3,0,25,343,5,31.2,129.8,105.0,3,109,26.1,1,0,2,0.3,53,FWD
Zeki,Amdouni,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,48,FWD
Lyle,Foster,2,1,28,578,12,76.5,117.2,84.0,4,114,27.4,2,0,2,1.6,50,FWD
Ashley,Barnes,0,0,1,7,0,0.3,0.2,0.0,0,3,0.1,0,0,0,1.3,43,FWD
Michael,Obafemi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44,FWD
Martin,Dúbravka,0,0,35,990,22,0.0,344.4,0.0,2,157,34.6,2,0,0,34.2,40,GK
Lesley,Ugochukwu,2,1,32,588,11,31.4,129.2,90.0,3,113,24.8,2,1,0,0.1,50,MID
Armando,Broja,0,0,5,75,6,2.4,8.4,10.0,0,14,2.2,0,0,0,0.1,52,FWD
Florentino Ibrain,Morris Luís,0,1,28,657,16,74.8,159.6,31.0,0,123,26.7,1,0,1,0.1,50,MID
Norberto,Murara Neto,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,GK
Đorđe,Petrović,0,0,40,990,18,0.0,276.4,0.0,1,164,27.7,4,0,1,5.8,45,GK
Will,Dennis,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.0,40,GK
Callan,McKenna,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,40,GK
Alex,Paulsen,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,GK
Illia,Zabarnyi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,DEF
Marcos,Senesi Barón,0,2,58,977,18,91.3,350.0,31.0,6,179,47.3,4,0,3,26.2,50,DEF
Adam,Smith,0,0,9,213,3,14.0,17.8,4.0,0,31,3.6,1,0,0,0.2,44,DEF
Adrien,Truffert,0,1,45,962,16,156.6,207.8,31.0,6,160,39.5,4,0,2,2.4,45,DEF
Matai,Akinmboni,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,39,DEF
Owen,Bevan,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,39,DEF
James,Hill,0,0,17,273,3,5.3,44.0,41.0,0,61,9.1,2,0,1,0.8,40,DEF
Julián,Araujo Zúñiga,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.7,39,DEF
Chris,Mepham,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF
Julio,Soler Barreto,0,0,1,1,0,0.0,0.0,0.0,0,2,0.0,0,0,0,0.2,40,DEF
Justin,Kluivert,1,0,18,392,7,112.9,71.4,49.0,1,56,23.2,1,0,2,1.0,70,MID
Antoine,Semenyo,6,4,75,990,18,162.2,336.6,297.0,9,214,79.7,4,0,2,62.4,81,MID
Marcus,Tavernier,2,1,47,856,14,225.7,180.6,149.0,6,152,55.7,5,0,0,1.8,55,MID
Tyler,Adams,1,1,37,953,17,61.0,203.8,88.0,1,185,35.4,4,0,4,0.5,50,MID
David,Brooks,0,1,21,549,8,134.4,76.8,129.0,1,94,33.4,3,0,3,0.2,50,MID
Ryan,Christie,1,1,16,226,6,33.0,69.2,53.0,0,58,15.6,0,0,1,0.1,50,MID
Lewis,Cook,0,0,5,79,3,13.1,13.8,3.0,0,23,3.1,0,0,0,0.0,49,MID
Philip,Billing,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,MID
Alex,Scott,1,1,36,727,10,111.4,136.6,52.0,2,164,30.0,4,0,1,0.3,50,MID
Luis,Sinisterra Lucumí,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID
Romain,Faivre,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,MID
Hamed,Traorè,0,1,4,16,2,10.0,21.2,0.0,0,12,3.1,0,0,0,0.4,45,MID
Dominic,Sadi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Zain,Silcott-Duberry,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44,MID
Ben,Winterburn,0,0,1,6,2,0.0,0.0,0.0,0,3,0.0,0,0,0,0.0,45,MID
Francisco Evanilson,de Lima Barbosa,1,1,25,721,11,120.4,59.0,190.0,2,92,36.7,3,0,1,1.4,70,FWD
Enes,Ünal,0,0,1,1,0,0.0,0.0,0.0,0,3,0.0,0,0,0,0.0,54,FWD
Daniel,Adu-Adjei,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,44,FWD
Junior,Kroupi,4,0,30,251,8,30.1,142.4,136.0,4,133,30.8,1,0,1,4.7,46,FWD
Ben,Gannon-Doak,0,1,7,53,1,14.0,21.2,11.0,0,22,4.7,0,0,0,0.0,49,MID
Bafodé,Diakité,0,0,30,720,13,38.3,161.4,12.0,2,109,21.3,3,0,1,0.4,45,DEF
Remy,Rees-Dottin,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44,MID
Amine,Adli,0,0,8,210,5,52.1,52.8,34.0,0,38,13.8,0,0,0,0.0,54,MID
Álex,Jiménez Sánchez,0,0,8,409,10,35.0,63.8,22.0,0,43,12.1,1,0,4,0.0,45,DEF
Veljko,Milosavljevic,0,0,13,275,5,12.1,72.2,6.0,0,48,9.0,1,0,0,0.0,45,DEF
Reiss,Nelson,0,0,2,16,0,2.2,9.0,9.0,0,12,2.0,0,0,0,0.1,48,MID
Dango,Ouattara,2,2,39,640,9,60.2,108.6,250.0,4,100,41.4,2,0,2,0.6,60,MID
Caoimhín,Kelleher,0,0,32,990,17,10.0,211.2,0.0,0,129,22.2,2,0,1,7.7,45,GK
Ellery,Balcombe,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,40,GK
Matthew,Cox,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,GK
Julian,Eyestone,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,39,GK
Hákon Rafn,Valdimarsson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.8,39,GK
Nathan,Collins,0,0,32,990,17,36.0,231.0,114.0,2,97,38.3,2,0,4,1.1,49,DEF
Keane,Lewis-Potter,0,1,21,446,9,75.8,61.8,24.0,0,61,16.2,2,0,1,0.3,49,DEF
Kristoffer,Ajer,0,2,19,388,6,14.8,82.8,91.0,0,67,19.0,1,0,0,0.2,44,DEF
Rico,Henry,0,0,6,189,6,14.5,19.0,14.0,0,11,4.6,0,0,1,0.1,43,DEF
Michael,Kayode,0,1,34,952,16,202.9,193.4,21.0,5,144,41.8,2,0,1,0.5,45,DEF
Ethan,Pinnock,0,0,0,155,4,0.8,31.8,10.0,0,1,4.3,0,0,1,0.1,43,DEF
Mads,Roerslev Rasmussen,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF
Sepp,van den Berg,0,0,34,990,17,16.1,224.6,148.0,0,115,39.0,2,0,0,0.6,45,DEF
Benjamin,Arthur,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,39,DEF
Benjamin,Fredrick,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF
Aaron,Hickey,0,0,8,253,4,5.6,24.8,29.0,0,29,6.0,0,0,1,0.3,40,DEF
Kim,Ji-soo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,39,DEF
Jayden,Meghoma,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Kevin,Schade,3,2,40,920,12,152.0,190.8,251.0,2,134,59.5,2,0,4,0.9,70,MID
Mikkel,Damsgaard,1,1,33,715,11,239.4,161.4,86.0,3,140,48.8,2,0,0,0.6,58,MID
Antoni,Milambo,0,0,1,45,3,1.8,4.0,0.0,0,5,0.6,0,0,0,0.0,52,MID
Fábio,Freitas Gouveia Carvalho,1,0,13,100,4,6.5,39.0,36.0,1,42,8.1,0,0,0,0.2,48,MID
Jordan,Henderson,0,2,29,829,12,161.3,130.6,15.0,2,143,30.6,3,0,3,0.4,50,MID
Vitaly,Janelt,0,0,10,145,2,38.0,22.8,16.0,0,30,7.6,0,0,0,0.0,49,MID
Mathias,Jensen,2,0,21,214,5,56.4,103.6,40.0,0,92,20.0,0,0,0,0.1,49,MID
Gustavo,Nunes Fernandes Gomes,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,MID
Frank,Onyeka,0,2,12,88,2,13.6,28.4,4.0,0,41,4.6,0,0,0,0.1,49,MID
Yehor,Yarmoliuk,0,1,33,868,15,101.4,141.2,43.0,0,142,28.4,2,0,1,0.1,50,MID
Romelle,Donovan,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,MID
Yunus Emre,Konak,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,44,MID
Paris,Maghoma,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Myles,Peart-Harris,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44,MID
Ryan,Trevitt,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Igor Thiago,Nascimento Rodrigues,8,0,60,921,16,93.5,343.4,363.0,9,241,80.0,2,0,3,11.7,63,FWD
Iwan,Morgan,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,44,FWD
Josh,Dasilva,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID
Jason,Steele,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,43,GK
Bart,Verbruggen,0,0,26,990,15,10.0,218.8,0.0,0,148,22.8,2,0,0,4.0,44,GK
Tom,McGill,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,40,GK
Carl,Rushworth,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
Kjell,Scherpen,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
Olivier,Boscagli,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,43,DEF
Diego,Coppola,0,0,3,17,1,0.1,7.8,0.0,0,6,0.8,0,0,0,0.1,43,DEF
Maxim,De Cuyper,1,0,16,411,8,84.9,84.0,73.0,1,64,24.3,0,0,1,1.8,43,DEF
Lewis,Dunk,0,1,29,990,15,23.9,168.6,49.0,0,138,24.3,2,0,3,1.1,45,DEF
Pervis,Estupiñán Tenorio,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF
Ferdi,Kadıoğlu,0,0,22,734,11,76.7,116.4,45.0,0,99,24.0,2,0,3,0.2,44,DEF
Tariq,Lamptey,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44,DEF
Jan Paul,van Hecke,1,0,40,990,15,43.3,320.4,101.0,4,152,46.6,2,0,3,1.4,44,DEF
Joël,Veltman,0,0,7,339,6,20.5,69.2,6.0,0,28,9.7,0,0,3,0.1,43,DEF
Adam,Webster,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44,DEF
Eiran,Cashin,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Jacob,Slater,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF
Charlie,Tasker,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,39,DEF
Mitoma,Kaoru,1,1,20,508,8,95.8,88.4,88.0,0,64,26.9,1,0,1,2.0,62,MID
Georginio,Rutter,0,3,30,678,7,112.4,97.6,101.0,1,88,31.1,4,0,2,0.4,57,MID
Solly,March,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,58,MID
Yankuba,Minteh,1,5,50,949,13,245.8,193.0,248.0,3,193,68.9,3,0,0,5.0,60,MID
Julio,Enciso Espínola,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,54,MID
Brajan,Gruda,1,1,19,218,3,56.3,74.0,94.0,2,56,22.4,0,0,0,0.0,54,MID
Jack,Hinshelwood,0,0,4,107,2,2.0,9.4,0.0,0,22,1.2,0,0,0,0.0,51,MID
Matt,O'Riley,1,0,12,177,2,66.6,60.8,63.0,2,36,19.0,1,0,0,0.4,55,MID
Abdallah,Sima,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,54,MID
Yasin,Ayari,1,0,29,871,12,134.3,130.4,107.0,2,164,37.2,2,0,0,0.3,49,MID
Carlos,Baleba,0,0,16,644,7,47.6,27.6,10.0,0,71,8.4,4,0,4,2.0,47,MID
Diego,Gómez Amarilla,2,0,28,538,7,119.0,168.0,176.0,3,129,46.5,2,0,2,0.3,49,MID
James,Milner,1,1,15,187,7,71.2,79.6,17.0,0,66,16.8,0,0,1,0.1,49,MID
Jeremy,Sarmiento Morante,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,MID
Tom,Watson,0,0,2,40,2,1.3,5.6,7.0,0,9,1.4,0,0,0,0.0,49,MID
Mats,Wieffer,0,3,36,639,8,110.8,166.6,57.0,2,154,33.5,2,0,3,0.4,49,MID
Malick,Yalcouyé,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID
Joe,Knight,0,0,1,1,0,0.0,0.0,0.0,0,3,0.0,0,0,0,0.1,45,MID
Adrian,Mazilu,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Andrew,Moran,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Danny,Welbeck,6,0,45,709,13,114.1,226.4,190.0,6,196,52.7,2,0,2,9.2,65,FWD
Evan,Ferguson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,55,FWD
Stefanos,Tzimas,0,1,10,84,2,61.2,28.4,25.0,0,28,11.5,0,0,0,0.1,53,FWD
Charalampos,Kostoulas,1,0,8,29,1,0.9,37.2,44.0,0,39,8.2,0,0,0,0.3,48,FWD
Nehemiah,Oriola,0,0,1,1,0,0.0,0.0,0.0,0,3,0.0,0,0,0,0.0,45,MID
Facundo,Buonanotte,0,0,1,45,1,25.1,5.6,8.0,0,4,3.9,0,0,0,0.1,47,MID
Robert,Lynch Sánchez,0,0,37,904,11,20.0,158.4,0.0,1,143,17.7,5,1,1,13.7,48,GK
Filip,Jörgensen,0,0,1,84,2,0.0,9.4,0.0,0,4,0.9,0,0,0,0.2,43,GK
Mike,Penders,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
Gabriel,Słonina,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,39,GK
Marc,Cucurella Saseta,0,2,49,896,10,211.7,202.0,72.0,5,224,48.6,5,0,2,22.4,61,DEF
