assists,birth_date,bonus,bps,can_select,can_transact,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,clearances_blocks_interceptions,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,defensive_contribution,defensive_contribution_per_90,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,has_temporary_code,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,opta_code,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,recoveries,red_cards,region,removed,saves,saves_per_90,scout_risks,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,tackles,team,team_code,team_join_date,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,1999-10-22,0,0,False,True,0,0,0,0,0,437742,None,,0,0,0,0,0.0,662,259,0,0,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Albert,0.0,618,227,0,0,0,False,0.0,667,258,29,False,0.0,664,256,0,has joined Hamburger permanently.,2025-09-02T13:40:53.094922Z,45,417,249,p437742,0,0,None,0,,437742.jpg,0.0,670,261,0,0,21,False,0,0,[],Sambi Lokonga,0.1,568,207,False,None,0,0,u,0,1,3,2021-07-19,0.0,641,250,0,2952,0,13914,24,0.0,0.0,Sambi,0
0,1999-06-11,0,4,True,True,100,100,0,0.0,1,219847,None,,0,0,-2,2,0.8,444,54,3,9.0,None,,0,4,1.0,0.5,0,0.01,0.03,0.01,0.03,0.00,0.82,2.46,0.0,Kai,0.0,792,87,0,0.0,0,False,0.6,463,57,30,False,2.8,457,52,30,,2025-08-20T13:00:06.498911Z,73,25,9,p219847,0,0,None,0,,219847.jpg,1.0,478,59,2,0,80,False,0,0.0,[],Havertz,0.3,292,49,False,None,0,0.0,a,0,1,3,2023-06-28,2.0,425,58,1,12346,852,112306,387,0.0,0.1,Havertz,0
0,1997-04-03,0,39,True,True,100,100,0,0.0,3,205651,None,,0,0,-1,1,6.5,413,50,14,10.86,None,,0,4,2.6,2.1,1,0.03,0.02,0.50,0.38,0.47,2.65,2.06,0.36,Gabriel,1.6,244,29,3,2.33,1,False,15.3,354,41,31,False,53.6,375,39,116,,2025-07-21T10:00:04.697564Z,64,56,20,p205651,0,0,None,0,,205651.jpg,1.5,388,44,7,0,30,False,0,0.0,[],Fernando de Jesus,0.3,335,55,False,None,0,0.0,a,4,1,3,2022-07-04,94.0,208,40,9,48368,2796,30538,3570,0.2,1.4,G.Jesus,1
3,1998-06-29,6,258,True,True,None,None,6,0.54,13,232413,None,,-1,1,-2,2,158.8,146,101,65,5.83,None,,2,3,1.2,0.7,1,1.41,0.13,3.95,0.36,2.54,6.06,0.54,0.23,Eberechi,0.2,401,187,6,0.54,4,False,69.2,98,56,266,False,252.6,169,65,1003,,None,73,27,18,p232413,0,0,None,0,,232413.jpg,4.2,64,29,41,0,241,False,0,0.0,[],Eze,9.2,49,18,False,None,12,1.08,a,11,1,3,2025-08-23,281.0,52,33,67,3221238,2366,3464047,58070,0.0,9.2,Eze,0
0,2004-06-27,1,85,True,True,0,0,1,0.21,24,500040,None,,0,0,-2,2,23.2,355,128,35,7.34,None,,0,2,0.0,0.0,0,0.43,0.09,0.43,0.09,0.00,2.68,0.56,0.0,Cristhian,0.0,754,256,4,0.84,0,False,11.5,379,135,662,False,84.0,330,126,429,Ankle injury - Unknown return date,2025-12-04T09:00:09.512338Z,53,202,30,p500040,0,0,None,0,,500040.jpg,1.7,359,134,17,0,200,False,0,0.0,[],Mosquera,0.1,431,159,False,None,4,0.84,i,11,1,3,2025-07-24,8.0,383,141,17,42051,9,49958,183,0.0,3.2,Mosquera,1
0,1998-06-04,4,183,True,True,100,100,9,0.63,14,224117,None,,-1,1,-3,3,136.4,167,14,45,3.14,None,,1,4,3.6,3.1,2,0.88,0.06,7.15,0.5,6.27,9.18,0.64,0.44,Viktor,2.6,163,20,6,0.42,5,False,76.2,81,15,666,False,199.8,200,16,1289,,2025-11-01T18:00:08.847750Z,87,10,5,p224117,0,0,2,0,,224117.jpg,2.8,222,21,27,0,206,False,0,0.0,[],Gyökeres,9.4,48,9,False,None,16,1.12,a,4,1,3,2025-07-26,430.0,20,12,54,2621144,7433,4520893,18095,0.3,6.2,Gyökeres,3
1,2009-12-31,0,13,True,True,0,0,0,0.0,0,616077,None,,0,0,-2,2,0.8,442,214,3,10.0,None,,0,3,0.0,0.0,0,0.02,0.07,0.16,0.54,0.14,0.12,0.4,0.47,Max,0.0,572,203,0,0.0,0,False,2.8,438,198,700,False,1.0,469,216,27,Ankle injury - Unknown return date,2025-12-10T00:00:08.266774Z,43,609,353,p616077,0,0,None,0,,616077.jpg,2.5,244,106,1,0,241,False,0,0.0,[],Dowman,0.3,305,102,False,None,0,0.0,i,2,1,3,2025-07-22,26.0,330,173,5,130477,490,111633,1859,0.0,1.2,Dowman,0
0,2007-12-28,0,0,True,True,None,None,0,0,0,646243,None,,0,0,0,0,0.0,719,305,0,0,None,,0,3,1.0,0.5,0,0.00,0,0.00,0,0.00,0.00,0,0,Andre,0.0,676,275,0,0,0,False,0.0,724,305,711,False,0.0,724,305,0,,None,45,497,307,p646243,0,0,None,0,,646243.jpg,0.0,724,305,0,0,241,False,0,0,[],Harriman-Annous,0.0,692,294,False,None,0,0,a,0,1,3,2025-07-22,0.0,703,300,0,1617,29,1499,27,0.0,0.0,Harriman-Annous,0
0,2002-01-09,2,147,True,True,75,100,2,0.2,61,448104,None,,0,0,-2,2,58.3,290,96,80,8.1,None,,1,2,3.0,3.5,1,0.74,0.07,0.74,0.07,0.00,9.45,0.96,0.0,Piero,3.0,135,51,9,0.91,0,False,26.6,295,97,725,False,188.6,213,87,889,Muscle injury - 75% chance of playing,2026-01-09T17:30:12.626512Z,53,197,26,p448104,0,0,None,0,,448104.jpg,2.9,203,80,36,0,62,False,0,0.0,[],Hincapié,1.4,158,61,False,None,10,1.01,d,19,1,3,2025-09-01,20.0,350,119,35,457183,2160,288949,20121,0.6,6.6,Hincapie,2
0,2009-08-29,0,0,True,True,None,None,0,0,0,616065,None,,0,0,0,0,0.0,584,234,0,0,None,,0,2,1.0,0.5,0,0.00,0,0.00,0,0.00,0.00,0,0,Marli,0.0,523,213,0,0,0,False,0.0,592,233,759,False,0.0,589,233,0,,None,40,705,200,p616065,0,0,None,0,,616065.jpg,0.0,600,234,0,0,241,False,0,0,[],Salmon,0.0,700,240,False,None,0,0,a,0,1,3,2025-07-22,0.0,548,228,0,795,43,551,59,0.0,0.0,Salmon,0
0,1992-09-02,3,282,True,True,75,100,4,0.24,13,98980,None,,0,0,0,0,3.0,426,12,0,0.0,None,,2,1,1.3,1.7,1,0.03,0.0,0.03,0.0,0.00,22.32,1.35,0.0,Emiliano,1.7,231,18,16,0.97,0,False,38.2,234,13,32,False,379.6,67,13,1485,Calf injury - 75% chance of playing,2026-01-09T17:30:11.419226Z,50,242,8,p98980,0,0,None,1,,98980.jpg,3.8,93,8,132,0,10,False,49,2.97,[],Martínez Romero,3.5,96,15,False,None,17,1.03,d,0,2,7,2020-09-16,0.0,744,84,64,639836,9737,452799,21496,0.3,12.8,Martinez,1
0,1991-03-10,0,51,True,True,None,None,1,0.22,6,72147,None,,0,0,-3,3,0.0,593,72,0,0.0,None,,0,1,0.5,0.5,2,0.00,0.0,0.00,0.0,0.00,8.53,1.9,0.0,Marco,0.5,326,23,8,1.78,0,False,9.3,391,27,33,False,92.8,316,27,405,,None,42,616,32,p72147,0,0,None,0,,72147.jpg,2.2,281,23,41,0,152,False,13,2.89,[],Bizot,0.4,268,35,False,None,4,0.89,a,0,2,7,2025-07-15,0.0,559,57,11,81406,535,109415,591,0.1,2.6,M.Bizot,2
0,2000-07-04,0,0,False,True,0,0,0,0,0,462492,None,,0,0,0,0,0.0,551,59,0,0,None,,0,1,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Joe,0.0,487,65,0,0,0,False,0.0,559,70,34,False,0.0,556,70,0,Has joined Port Vale on loan for the rest of the season.,2025-08-12T07:40:37.843391Z,40,665,52,p462492,0,0,None,0,,462492.jpg,0.0,567,70,0,0,13,False,0,0,[],Gauci,0.1,469,74,False,None,0,0,u,0,2,7,2024-02-01,0.0,514,44,0,0,0,16638,139,0.0,0.0,Gauci,0
0,2003-04-24,0,0,False,True,0,0,0,0,0,462381,None,,0,0,0,0,0.0,550,58,0,0,None,,0,1,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Filip,0.0,486,64,0,0,0,False,0.0,558,69,35,False,0.0,555,69,0,Has joined Stevenage permanently.,2025-07-30T14:08:21.698398Z,40,664,51,p462381,0,0,None,0,,462381.jpg,0.0,566,69,0,0,241,False,0,0,[],Marschall,0.0,721,83,False,None,0,0,u,0,2,7,2021-12-13,0.0,513,43,0,0,0,1211,8,0.0,0.0,Marschall,0
2,1997-08-07,6,316,True,True,100,100,6,0.3,80,199796,1,,0,0,3,-3,295.3,58,11,115,5.84,None,,2,2,2.3,2.3,6,1.76,0.09,2.46,0.13,0.70,26.74,1.36,0.04,Matty,2.3,177,64,19,0.97,3,False,84.4,60,9,36,False,425.2,44,20,1771,,2025-12-28T02:30:08.800205Z,48,350,59,p199796,0,0,None,0,,199796.jpg,4.3,47,22,47,0,172,False,0,0.0,[],Cash,10.8,41,13,False,None,20,1.02,a,35,2,7,2020-09-03,123.0,156,28,87,2320224,65121,1345925,15870,0.5,18.1,Cash,5
3,1993-07-20,4,250,True,True,100,100,6,0.45,45,101188,2,,0,0,0,0,277.5,65,12,66,4.98,2,,1,2,2.2,2.2,9,1.75,0.13,2.24,0.17,0.49,18.41,1.39,0.04,Lucas,2.2,189,69,12,0.91,0,False,60.2,135,44,37,False,237.8,177,72,1192,,2025-10-23T13:30:07.954318Z,45,397,73,p101188,0,0,None,0,,101188.jpg,3.2,149,58,42,0,73,False,0,0.0,[],Digne,1.6,152,59,False,None,14,1.06,a,21,2,7,2022-01-13,89.0,214,53,64,271232,6380,305275,2943,0.5,14.2,Digne,2
0,1997-10-23,3,313,True,True,100,100,6,0.3,106,199798,None,,0,0,-1,1,71.4,259,78,117,5.93,None,,0,2,2.7,2.7,7,0.38,0.02,0.74,0.04,0.36,29.32,1.49,0.02,Ezri,2.7,151,58,23,1.17,0,False,50.7,173,57,38,False,360.2,80,36,1775,,2025-11-18T09:30:07.536725Z,44,513,104,p199798,0,0,None,0,,199798.jpg,3.1,171,69,59,1,241,False,0,0.0,[],Konsa Ngoyo,7.4,56,17,False,None,20,1.01,a,11,2,7,2019-07-11,72.0,244,67,62,478661,12933,1845484,8704,0.6,14.1,Konsa,0
